[[31,23,23,3,30,2,6,39],[4,33,5,36,21,29,29,0],[7,20,25,16,28,17,1,22],[41,34,31,2,38,9,18,14],[41,17,38,33,24,24,39,26],[19,34,27,26,30,36,29,37],[41,41,16,35,36,3,3,30],[40,13,5,22,39,32,5,25],[19,20,34,28,40,12,37,23],[15,8,19,21,37,5,1,31],[21,26,22,35,38,21,3,15],[34,39,24,4,27,1,25,2],[36,38,18,0,0,15,37,33],[6,33,40,17,28,6,27,35],[25,26,10,4,11,27,0,24],[6,40,23,18,4,32,16,22],[2,17,16,1,20,32,19,15],[32,35,31,30,28,18,29,20]]
[[39,18,5,19,29,25,37,10],[31,34,36,22,31,5,0,15],[29,38,23,33,26,22,38,33],[38,2,15,21,12,24,8,30],[15,21,2,36,5,6,1,30],[6,29,33,23,4,16,37,36],[17,7,0,18,1,18,3,25],[34,37,11,4,16,2,35,1],[20,32,17,16,20,24,23,2],[26,38,30,22,33,21,41,9],[18,35,27,4,19,30,34,5],[27,35,20,3,32,37,27,4],[27,40,1,15,24,32,39,6],[0,13,28,36,40,6,40,28],[41,25,28,31,0,24,29,41],[25,3,21,39,28,16,17,22],[20,35,40,17,19,23,34,14],[26,32,39,19,31,26,3,41]]
[[39,31,24,16,35,29,25,5],[5,3,26,29,34,18,13,36],[3,23,0,20,15,27,17,15],[1,19,29,37,28,14,38,21],[35,38,4,16,3,33,2,15],[35,31,0,25,17,22,18,39],[26,40,36,28,27,27,33,37],[28,33,24,1,19,23,20,41],[1,34,38,1,0,41,27,3],[22,21,41,25,4,4,31,17],[19,20,31,9,5,2,18,34],[2,33,35,21,40,37,15,38],[41,19,25,30,39,26,36,30],[6,36,23,11,6,6,20,16],[32,6,7,22,0,2,37,40],[32,12,30,17,10,40,39,32],[23,4,28,24,5,18,30,24],[34,8,21,16,32,22,29,26]]
[[1,6,36,38,15,10,31,21],[41,22,17,4,14,28,29,3],[6,33,26,38,28,1,22,5],[24,2,40,34,34,37,6,20],[25,20,7,18,31,26,3,1],[17,23,3,26,16,5,0,28],[38,30,1,24,3,37,20,6],[22,32,8,37,19,21,18,4],[33,30,0,5,33,2,30,25],[16,31,18,34,35,34,25,39],[19,17,40,27,35,15,16,17],[23,18,32,5,27,37,33,30],[23,4,15,20,31,0,23,13],[35,15,21,36,40,19,40,29],[22,21,0,32,41,36,26,24],[2,41,4,25,24,16,11,27],[39,28,27,39,29,19,36,2],[35,41,38,29,32,12,39,9]]
[[4,34,41,1,37,23,17,33],[31,6,33,32,24,15,9,1],[0,2,6,39,5,6,30,18],[33,31,24,21,34,29,25,34],[20,16,31,27,17,37,8,36],[3,32,2,30,24,0,35,5],[5,40,28,22,0,20,39,38],[28,38,37,40,37,15,16,41],[36,25,21,26,21,20,17,6],[35,28,4,20,15,32,18,31],[38,22,5,19,35,22,16,33],[38,21,27,19,40,23,3,11],[35,30,2,17,39,39,29,18],[2,12,26,1,27,10,30,28],[7,29,1,29,27,25,16,32],[26,36,4,23,15,25,34,19],[24,13,23,14,19,4,41,26],[41,36,0,40,18,3,22,3]]
[[31,33,40,26,13,1,20,3],[18,33,29,17,41,36,17,23],[23,22,21,17,32,36,21,27],[16,31,34,41,6,2,24,39],[0,23,1,3,38,3,6,5],[41,28,36,37,2,19,25,0],[3,20,16,34,32,18,32,4],[28,28,41,29,20,5,18,18],[1,31,7,38,30,15,12,6],[21,39,15,29,38,39,35,24],[32,28,39,24,25,1,2,22],[0,19,19,9,4,17,27,8],[0,25,19,22,16,20,25,24],[27,37,5,6,23,15,37,26],[21,34,30,10,30,31,22,5],[34,40,14,4,38,11,36,35],[35,37,4,26,2,40,15,33],[29,27,26,40,35,16,30,33]]
[[17,30,35,26,16,5,23,4],[2,37,23,10,16,21,15,21],[27,15,1,9,36,0,4,36],[38,41,22,25,25,3,6,0],[22,1,32,33,30,19,27,6],[18,39,19,3,22,28,2,41],[4,32,1,0,19,5,2,28],[35,40,26,16,32,1,29,38],[27,41,20,3,20,18,5,23],[32,37,24,18,39,17,31,28],[18,40,31,20,35,16,38,21],[15,23,29,34,25,5,39,17],[13,14,39,24,35,20,26,0],[2,29,41,31,4,36,34,21],[40,33,8,26,15,25,34,28],[33,6,30,12,29,40,7,3],[37,33,34,38,24,17,30,31],[22,6,24,36,27,19,37,11]]
[[18,34,5,24,33,16,33,41],[38,37,39,2,30,17,23,21],[31,30,0,32,4,25,16,4],[15,0,39,24,18,29,19,39],[22,24,20,23,34,32,35,36],[20,39,38,19,15,37,21,28],[20,38,6,40,0,40,21,3],[37,17,9,10,20,34,5,17],[18,14,32,26,7,2,15,41],[25,27,23,4,36,26,26,29],[0,19,29,30,4,35,41,34],[3,31,29,1,35,38,33,27],[5,28,8,36,27,11,28,1],[2,22,1,40,17,3,22,31],[6,27,2,37,12,30,16,19],[6,16,25,5,41,24,18,31],[40,23,21,36,13,15,33,28],[6,22,25,32,26,1,3,35]]
[[23,22,19,39,14,40,7,25],[4,37,2,34,33,35,22,6],[24,1,3,26,22,30,33,21],[1,38,32,21,30,20,27,16],[21,15,15,24,31,2,16,28],[3,9,6,1,28,15,29,19],[36,28,36,16,2,32,41,31],[35,5,0,33,16,6,30,17],[1,23,8,38,35,0,17,29],[24,23,20,32,31,5,26,4],[28,2,0,34,3,18,3,38],[10,40,27,5,12,25,5,34],[39,22,36,29,18,36,20,40],[26,40,41,20,39,17,41,26],[29,19,25,11,19,18,17,33],[18,13,27,27,37,37,23,31],[15,30,4,4,38,0,35,41],[32,24,39,37,25,21,34,6]]
[[17,18,37,5,27,3,17,32],[20,2,39,32,39,23,37,36],[24,6,9,6,18,5,34,37],[12,41,34,41,40,8,19,7],[18,27,17,41,0,31,30,29],[24,1,20,31,35,1,35,40],[15,38,0,23,17,26,22,16],[22,35,14,33,28,31,28,30],[32,36,15,16,29,39,5,6],[25,16,13,1,28,29,36,19],[3,10,19,25,35,21,5,21],[38,20,15,3,39,15,38,11],[29,37,31,41,16,33,30,4],[0,40,21,33,26,26,4,24],[26,38,18,24,20,34,1,34],[30,23,3,25,25,28,4,2],[40,33,0,21,36,22,23,32],[27,2,4,22,27,6,19,2]]
